X,Nrep,rest,interval_duration,profil,PAM,rest_power,duration,PC,DR,power_cogganTSS,percent_power_max,percent_PAM,cumul_time
1...1,2,15,15,sprinter,375.481359910061,187.740679955031,45,664.90931749689,1,1142.07795503875,117.95273515096298,304.16368879464795,30
1...2,3,15,15,sprinter,375.481359910061,187.740679955031,75,538.038974024387,1,888.337268093743,91.7466360732233,236.58624979586907,45
1...3,4,15,15,sprinter,375.481359910061,187.740679955031,105,476.173807418623,1,764.606934882215,78.96788383564545,203.63379291727327,60
1...4,5,15,15,sprinter,375.481359910061,187.740679955031,135,441.379317080446,1,695.017954205862,71.78079947688568,185.10052120092982,75
1...5,6,15,15,sprinter,375.481359910061,187.740679955031,165,419.423240991797,1,651.105802028565,67.24559377325946,173.40562583040722,90
1...6,7,15,15,sprinter,375.481359910061,187.740679955031,195,404.339981865256,1,620.939283775481,64.13002419043534,165.37153373584633,105
1...7,8,15,15,sprinter,375.481359910061,187.740679955031,225,393.327716695965,1,598.9147534369,61.85535144818558,159.5058549858129,120
1...8,9,15,15,sprinter,375.481359910061,187.740679955031,255,384.924665952598,1,582.108651950165,60.11963312104407,155.02997328272102,135
1...9,10,15,15,sprinter,375.481359910061,187.740679955031,285,378.297084294579,1,568.853488634127,58.75065234254164,151.49979449589307,150
1...10,11,15,15,sprinter,375.481359910061,187.740679955031,315,370.318964554109,1,552.897249153187,57.10270696263385,147.25025212586382,165
1...11,12,15,15,sprinter,375.481359910061,187.740679955031,345,361.195181580405,1,534.64968320578,55.21811554411619,142.39047268121234,180
1...12,13,15,15,sprinter,375.481359910061,187.740679955031,375,353.357710015062,1,518.974740075092,53.59922218623002,138.21584650684179,195
1...13,14,15,15,sprinter,375.481359910061,187.740679955031,405,346.526919427927,1,505.313158900824,52.188266954249265,134.57742856312805,210
1...14,15,15,15,sprinter,375.481359910061,187.740679955031,435,340.500366453011,1,493.26005295099,50.94343352797143,131.36738747008388,225
1...15,16,15,15,sprinter,375.481359910061,187.740679955031,465,335.12769842841,1,482.51471690179,49.83366534487365,128.5056379409531,240
1...16,17,15,15,sprinter,375.481359910061,187.740679955031,495,330.294784527938,1,472.848889100846,48.83538775656237,125.93138823565235,255
1...17,18,15,15,sprinter,375.481359910061,187.740679955031,525,325.913335048392,1,464.085990141755,47.93036380831425,123.59761087818515,270
1...18,19,15,15,sprinter,375.481359910061,187.740679955031,555,321.913910279108,1,456.087140603185,47.104250164343824,121.46731883373158,285
1...19,20,15,15,sprinter,375.481359910061,187.740679955031,585,318.241091664453,1,448.741503373875,46.34559967222881,119.51099343023633,300
1...20,2,30,15,sprinter,375.481359910061,187.740679955031,60,589.141595507404,1,1423.0435978253,146.97060201715038,378.99180885201906,30
